H:\Projects\ZLQ\Demo\pythonProject\.venv\Scripts\python.exe H:\Projects\ZLQ\Demo\pythonProject\socket_demo.py 
Serving on ('127.0.0.1', 6868)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8010179996490479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8010179996490479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8924840092658997,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8924840092658997,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8924840092658997,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8924840092658997,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.8911830186843872,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.8911830186843872,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.8911830186843872,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.8911830186843872,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5702059864997864,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5702059864997864,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5702059864997864,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5702059864997864,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.6521940231323242,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.6521940231323242,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.6521940231323242,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.6521940231323242,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.546995997428894,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.546995997428894,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.546995997428894,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.546995997428894,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.625603973865509,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.625603973865509,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.625603973865509,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.625603973865509,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6058459877967834,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6058459877967834,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6058459877967834,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6058459877967834,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6515849828720093,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6515849828720093,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6515849828720093,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6515849828720093,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5369939804077148,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5369939804077148,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5369939804077148,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5369939804077148,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5236459970474243,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5236459970474243,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5236459970474243,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.5236459970474243,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.4733160138130188,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.4733160138130188,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.4733160138130188,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/frown: (0.4733160138130188,)
