H:\Projects\ZLQ\Demo\pythonProject\.venv\Scripts\python.exe H:\Projects\ZLQ\Demo\pythonProject\socket_demo.py 
Serving on ('127.0.0.1', 6868)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.4630880057811737,)
Received from /met/exc: (0.6795639991760254,)
Received from /met/int: (0.8349639773368835,)
Received from /met/rel: (0.5919539928436279,)
Received from /met/str: (0.49972599744796753,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.5227329730987549,)
Received from /met/exc: (0.7502959966659546,)
Received from /met/int: (0.6649749875068665,)
Received from /met/rel: (0.3182869851589203,)
Received from /met/str: (0.27972298860549927,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.4788300096988678,)
Received from /met/exc: (0.7465779781341553,)
Received from /met/int: (0.6011130213737488,)
Received from /met/rel: (0.5205699801445007,)
Received from /met/str: (0.4395599961280823,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.4826509952545166,)
Received from /met/exc: (0.7421839833259583,)
Received from /met/int: (0.41238999366760254,)
Received from /met/rel: (0.28683900833129883,)
Received from /met/str: (0.2949970066547394,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.4967530071735382,)
Received from /met/exc: (0.33174601197242737,)
Received from /met/int: (0.3429439961910248,)
Received from /met/rel: (0.26489099860191345,)
Received from /met/str: (0.24154099822044373,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.3895620107650757,)
Received from /met/exc: (0.66839998960495,)
Received from /met/int: (0.6075000166893005,)
